name,cf_url,modrinth_url,github_url,manual_versions,incompat,description,side,notes,type,status
Entity Collision FPS Fix (Fabric),https://www.curseforge.com/minecraft/mc-mods/entity-collision-fps-fix-fabric,https://modrinth.com/mod/entity-collision-fps-fix,,,,skips collision checks on the client's render thread because these checks are already handled by the server.,Client,,performance,
Entity Collision FPS Fix (Forge),https://www.curseforge.com/minecraft/mc-mods/entity-collision-fps-fix,https://modrinth.com/mod/entity-collision-fps-fix,,,,skips collision checks on the client's render thread because these checks are already handled by the server.,Client,,performance,
Entity Culling,https://www.curseforge.com/minecraft/mc-mods/entityculling,https://modrinth.com/mod/entityculling,,,,Uses async path-tracing to skip rendering entities that are not visible.,Client,,performance,
Exordium,https://www.curseforge.com/minecraft/mc-mods/exordium,https://modrinth.com/mod/exordium,,,"Vulkan Renderer, Caxton, Inventorio, MiniHUD, Canvas, Title Fixer",Render the GUI and screens at a lower framerate to speed up worldrendering.,Client,incompatible with some mods with their own GUI elements,performance,3
Fabric Chunk Pregenerator,https://www.curseforge.com/minecraft/mc-mods/chunk-pregenerator-fabric,https://modrinth.com/mod/fabricquilt-chunk-pregenerator,,,,Allows you to pregenerate chunks for your server or for singleplayer,Server,,"performance,utility",
FastChest,https://www.curseforge.com/minecraft/mc-mods/fastchest,,,,,Removes dynamic models from chests and making them render as static chunk geometry.,Client,,performance,
FastFurnace,https://www.curseforge.com/minecraft/mc-mods/fastfurnace,,,,,"Similar to FastWorkbench, it caches the last recipe used, and checks this recipe first before re-scanning the entire registry.",Server,,performance,
Fastload,https://www.curseforge.com/minecraft/mc-mods/fastload,https://modrinth.com/mod/fastload,,,"ForceCloseLoadingScreen, Ksyxis, MCMT, MidnightControls","Fastload, is a simple mod that reduces world loading time. This serves as an alternative to ksyxis, which uses an unsafe method of cutting down time.",Either,incompatible with some mods,performance,4
FastSuite,https://www.curseforge.com/minecraft/mc-mods/fastsuite,,,,,"FastSuite is a mod about improving recipe performance, it improves upon all mods that use the JSON recipe system, rather than just a specific subset of recipes",Server,,performance,
FastWorkbench,https://www.curseforge.com/minecraft/mc-mods/fastworkbench,,,,,This is a mod aimed at improving performance of all crafting-related functions.,Server,,performance,
FerriteCore (Forge),https://www.curseforge.com/minecraft/mc-mods/ferritecore,https://modrinth.com/mod/ferrite-core,,,,This mod reduces the memory usage of Minecraft in a few different ways,Either,,performance,
FerriteCore (Fabric),https://www.curseforge.com/minecraft/mc-mods/ferritecore-fabric,https://modrinth.com/mod/ferrite-core,,,,This mod reduces the memory usage of Minecraft in a few different ways,Either,,performance,
FixMySpawnR,https://www.curseforge.com/minecraft/mc-mods/fixmyspawnr,,,,,Claims to reduce about half of the tps lag caused by mobspawners.,Server,Requires using a redstone signal to power the mob spawner for a mob farm,performance,3
ForgetMeChunk,https://www.curseforge.com/minecraft/mc-mods/forgetmechunk,https://modrinth.com/mod/forgetmechunk,,,,Fixes the large lag spikes you sometimes get when crossing a chunk border,Client,causes a memory leak that is only reset by changing dimension or leaving the world,performance,3
It Shall Not Tick (ISNT),https://www.curseforge.com/minecraft/mc-mods/it-shall-not-tick,https://modrinth.com/mod/it-shall-not-tick-(isnt),,,,Limits entity ticking to within a configurable range of players.,Both,breaks vanilla mob farms,performance,3
Krypton,https://www.curseforge.com/minecraft/mc-mods/krypton,https://modrinth.com/mod/krypton,,,,Implements a suite of optimizations focused on the Minecraft networking stack.,Either,,performance,
Krypton Reforged,https://www.curseforge.com/minecraft/mc-mods/krypton-reforged,,,,Pluto,Implements a suite of optimizations focused on the Minecraft networking stack.,Either,Consider using Pluto instead,performance,3
Ksyxis,https://www.curseforge.com/minecraft/mc-mods/ksyxis,https://modrinth.com/mod/ksyxis,,,Fastload,Speeds up your world loading by skipping vanilla's unnecessary 441 chunk loading-unloading on every login.,Either,Use Fastload instead,performance,1
Lazy Language Loader,https://www.curseforge.com/minecraft/mc-mods/lazy-language-loader,https://modrinth.com/mod/lazy-language-loader,,,,Improves loading times when changing your language by only reloading the language instead of all the game resources!,Client,,performance,
LazyDFU (Fabric),https://www.curseforge.com/minecraft/mc-mods/lazydfu,https://modrinth.com/mod/lazydfu,,,,"makes the initialization of DataFixerUpper ""lazy""",Either,client-side only in 1.19+; unnecessary in 1.19.4+,performance,
LazyDFU (Forge),https://www.curseforge.com/minecraft/mc-mods/lazy-dfu-forge,none,,,Mods that remove the DFU,"makes the initialization of DataFixerUpper ""lazy""",Either,client-side only in 1.19+; unnecessary in 1.19.4+,performance,
Lithium,https://www.curseforge.com/minecraft/mc-mods/lithium,https://modrinth.com/mod/lithium,,,,A general-purpose optimization mod which works to improve a number of systems without changing any behavior,Either,no longer available on Curseforge,performance,
Log Begone,https://www.curseforge.com/minecraft/mc-mods/log-begone,https://modrinth.com/mod/log-begone,,,,Allows you to remove annoying logs. Can also help with performance if there is a lot of log spam,Server,configuration needed,"performance,utility",
MCMT-Fabric,https://www.curseforge.com/minecraft/mc-mods/mcmtfabric,https://modrinth.com/mod/mcmtfabric,,,"Carpet, Dimensional Threading, C2ME, Lithium, VMP",Attempts to multithread minecraft's tick execution.,Server,Corruption (1),performance,3
MCMTFabricCE,https://www.curseforge.com/minecraft/mc-mods/mcmtfabricce,https://modrinth.com/mod/mcmtce,,,"Carpet, Dimensional Threading, C2ME, Ksyxis",Attempts to multithread minecraft's tick execution.,Server,Corruption (1),performance,3
MemoryLeakFix,https://www.curseforge.com/minecraft/mc-mods/memoryleakfix,https://modrinth.com/mod/memoryleakfix,,,,"Fixes multiple memory leaks, both server-side & client-side.",Either,no longer available on Curseforge,performance,
Mipmaplevel and Language Fix,,https://modrinth.com/mod/mipmaplevelandlanguagefix,,,,"Makes changing mipmap levels and language faster, by only reloading the respective part of the game instead of doing a full reload.",Client,,performance,
More Culling,https://www.curseforge.com/minecraft/mc-mods/moreculling,https://modrinth.com/mod/moreculling,,,"Cull Leaves, Cull Less Leaves, MultiPartLib ",changes how blockstate culling is handled in order to improve performance,Client,no longer available on Curseforge; see MoreCulling#31 for more compatibility info,performance,
Observable,https://www.curseforge.com/minecraft/mc-mods/observable,https://modrinth.com/mod/observable,,,,Shows what's lagging your world/server by profiling (tile) entities.,Both,,utility,
Particle Blocker,https://www.curseforge.com/minecraft/mc-mods/particle-blocker,https://modrinth.com/mod/particles,,,,Adds a GUI to pick and choose particles to not render.,Client,,performance,
Phosphor (Fabric),https://www.curseforge.com/minecraft/mc-mods/phosphor,https://modrinth.com/mod/phosphor,,,Starlight,Optimizes the lighting engine,Either,Starlight usually has better performance,performance,4
Pluto,https://www.curseforge.com/minecraft/mc-mods/pluto,https://modrinth.com/mod/pluto,,,Krypton Reforged,Unofficial Forge port of Krypton. This mod aims to optimize the network stack of the game in order to provide better network performance.,Either,,performance,
Radium Reforged,https://www.curseforge.com/minecraft/mc-mods/radium-reforged,,,,Canary,Unofficial Forge port of Lithium. A general-purpose optimization mod which works to improve a number of systems without changing any behavior,Either,Consider using Canary instead,performance,3
Radon,https://www.curseforge.com/minecraft/mc-mods/radon,https://modrinth.com/mod/radon,,,Starlight,Unofficial Forge port of Phosphor. Optimizes the lighting engine,Either,Starlight usually has better performance,performance,4
Recipe Cache,https://www.curseforge.com/minecraft/mc-mods/recipe-cache,,,,"FastFurnace, FastBench (?)",Caches recipe lookup for crafting and furnaces to lessen server lag caused by crafting stacks of items and large amounts of furnaces ticking,Server,,performance,
Rubidium,https://www.curseforge.com/minecraft/mc-mods/rubidium,https://modrinth.com/mod/rubidium,,,"Magnesium, Optifine","Unofficial Forge port of Sodium. FOSS rendering engine replacement that greatly improves frame rates, reduces micro-stutter, and fixes graphical issues.",Client,"incompatibilities with some mods, use Embeddium instead",performance,1
Saturn,https://www.curseforge.com/minecraft/mc-mods/saturn,https://modrinth.com/mod/saturn,,,,Removes the biome temperature cache to save memory,Either,"Already included in ModernFix, MemoryLeakFix, and Lithium ports",performance,1
ServerCore,https://www.curseforge.com/minecraft/mc-mods/servercore,https://modrinth.com/mod/servercore,,,,Aims to optimize & add multiplayer features to the minecraft server.,Server,,performance,
Simply No Shading,https://www.curseforge.com/minecraft/mc-mods/simply-no-shading,https://modrinth.com/mod/simply-no-shading,,,,"Mimics OptiFine's Internal Shader with Old Lighting OFF by default. Benefits are less lag as this mod is not a shader, stability, and compatibility with other mods.",Client,,performance,
Smoke Suppression,https://www.curseforge.com/minecraft/mc-mods/smoke-suppression,https://modrinth.com/mod/smoke-suppression,,,,Prevents client-side lag and general annoyance when using large numbers of campfires in farms.,Client,,performance,
Smooth Boot (Fabric),https://www.curseforge.com/minecraft/mc-mods/smooth-boot,https://modrinth.com/mod/smoothboot-fabric,,,,Optimizes loading performance to be smoother on low end systems and scale better on high end systems.,Either,"caps the number of worker threads, so on CPUs with lots of cores it might make launching slower.",performance,4
Smooth Boot (Reloaded),https://www.curseforge.com/minecraft/mc-mods/smooth-boot-reloaded,https://modrinth.com/mod/smooth-boot-reloaded,,,,Optimizes loading performance to be smoother on low end systems and scale better on high end systems.,Either,"caps the number of worker threads, so on CPUs with lots of cores it might make launching slower.",performance,4
Smooth Chunk Save,https://www.curseforge.com/minecraft/mc-mods/smooth-chunk-save,,,,,"Saves chunks continuously over time, reducing server lag and preventing lagspikes from saving too many chunks at once.",Server,closed source,performance,
Sodium,https://www.curseforge.com/minecraft/mc-mods/sodium,https://modrinth.com/mod/sodium,,,,"FOSS rendering engine replacement that greatly improves frame rates, reduces micro-stutter, and fixes graphical issues.",Client,no longer available on Curseforge; install Indium for compatibility with mods that use the FRAPI,performance,
Starlight (Fabric),https://www.curseforge.com/minecraft/mc-mods/starlight,https://modrinth.com/mod/starlight,,,,rewrites the light engine to fix lighting performance and lighting errors,Either,"far less effective in 1.20+ (especially on the client-side), as the Vanilla lighting engine was rewritten to be much faster",performance,
Starlight (Forge),https://www.curseforge.com/minecraft/mc-mods/starlight-forge,https://modrinth.com/mod/starlight,,,,rewrites the light engine to fix lighting performance and lighting errors,Either,"far less effective in 1.20+ (especially on the client-side), as the Vanilla lighting engine was rewritten to be much faster",performance,
Very Many Players,https://www.curseforge.com/minecraft/mc-mods/vmp-fabric,https://modrinth.com/mod/vmp-fabric,,,,improves general server performance at high playercount without sacrificing vanilla functionality.,Client Optional,,performance,
Vulkan Renderer,https://www.curseforge.com/minecraft/mc-mods/vulkanmod,https://modrinth.com/mod/vulkanmod,,,"Sodium, Twilight Forest, AppleSkin, many more",rewrites Minecraft OpenGL renderer to use Vulkan API.,Client,See VulkanMod#226,performance,3
FastBench for Fabric,https://www.curseforge.com/minecraft/mc-mods/fastbench-for-fabric,,,,Recipe Cache,Improves performance of all crafting-related functions.,Server,,performance,
Fast Furnace for Fabric,https://www.curseforge.com/minecraft/mc-mods/fast-furnace-for-fabric,,,,Recipe Cache,Improves performance of all crafting-related functions.,Server,,performance,
No Mob Generation,,https://modrinth.com/mod/nomobgeneration,,,,Prevents animals from spawning in new chunks when the mobcap is full,Server,changes vanilla mob spawning behavior,performance,3
"Get It Together, Drops!",https://www.curseforge.com/minecraft/mc-mods/get-it-together-drops,https://modrinth.com/mod/get-it-together-drops,,,,This mod adds two configuration options to control how dropped items combine on the ground. This can significantly improve performance in areas with lots of dropped items,Server,,performance,
Magnesium,https://www.curseforge.com/minecraft/mc-mods/sodium-reforged,,,,"Optifine, Halogen, Rubidium","Unofficial Forge port of Sodium. FOSS rendering engine replacement that greatly improves frame rates, reduces micro-stutter, and fixes graphical issues in Minecraft.",Client,Use Rubidium instead,performance,1
Entity Distance,,https://modrinth.com/mod/entity-distance,,,,Allows the user to adjust the (client) distance at which different entities render,Client,,performance,
Hydrogen,,https://modrinth.com/mod/hydrogen,,,,Reduces the memory usage of the game in more modded scenarios,Either,Consider using FerriteCore instead,performance,3
Resolution Control+,https://www.curseforge.com/minecraft/mc-mods/resolutioncontrol,https://modrinth.com/mod/resolution-control-plus,,,,Allows you to change Minecraft's render resolution separately from the HUD elements.,Client,,performance,
Angerable Patch,https://www.curseforge.com/minecraft/mc-mods/angerable-patch,,,,,"Fixes MC-192362 / MC-189565, which causes drastically large log file sizes and lag",Client,,performance,
Overworld Two,https://www.curseforge.com/minecraft/mc-mods/overworld-two,,,,,Generates overworld and nether terrain much faster than vanilla minecraft at the cost of breaking parity,Server,breaks Vanilla seed parity,performance,3
APTweaks,https://www.curseforge.com/minecraft/mc-mods/adaptive-performance-tweaks,,,,Dynamic View,Automatically adjusts specific settings on the server and client side to allow a balanced TPS/FPS.,Server,likely causes more lag and may hide TPS issues,performance,2
DataFixerSlayer,https://www.curseforge.com/minecraft/mc-mods/datafixerslayer,,,,Any other mod that also removes DFU,Prevents the DataFixerUpper (DFU) system from loading,Prevents the DataFixerUpper (DFU) system from loading,Use LazyDFU instead,performance,1
Does It Tick?,https://www.curseforge.com/minecraft/mc-mods/does-it-tick,,,,Performant,Limits entity ticking outside view distance,Both,breaks vanilla mob farms,performance,3
DrawerFPS,https://www.curseforge.com/minecraft/mc-mods/drawerfps,,,,,Lets you configure the range at which Storage Drawers render items to improve FPS.,Client,,performance,
Entity Culling,https://www.curseforge.com/minecraft/mc-mods/entity-culling,none,,,"Pixelmon, Sync",Skips rendering of hidden (tile-)entities.,Client,,performance,
Halogen,https://www.curseforge.com/minecraft/mc-mods/halogen,,,,"Optifine, Magnesium, Rubidium","Unofficial Forge port of Sodium. FOSS rendering engine replacement that greatly improves frame rates, reduces micro-stutter, and fixes graphical issues in Minecraft.",Client,Use Rubidium instead,performance,1
Helium,https://www.curseforge.com/minecraft/mc-mods/hydrogen-reforged,,,,Create,Unofficial Forge port of Hydrogen. Reduces the memory usage of the game in more modded scenarios,Either,Consider using FerriteCore instead,performance,3
MCMT,https://www.curseforge.com/minecraft/mc-mods/mcmt-multithreading,none,,,"Immersive Portals, Performant, Clumps, Lycanites Mobs ","Dispaches all worlds, entities, tile entites and environment ticks to a thread pool, allowing for parallel execution",Server,Corruption (1),performance,3
Out of Sight,https://www.curseforge.com/minecraft/mc-mods/out-of-sight,,,,Rubidium,stops modded tile entities from rendering if they are further than 24 blocks away,Client,obvious pop-in of tile entities as you get closer to them,performance,3
Performant,https://www.curseforge.com/minecraft/mc-mods/performant,,,,"Botania, IE, Bewitchment, Resourceful Bees, many more",improves performance and blocklag.,Server,"closed source, breaks many mods, may hide TPS issues",performance,2
RoadRunner,https://www.curseforge.com/minecraft/mc-mods/roadrunner,,,,,Unofficial Forge port of Lithium. A general-purpose optimization mod which works to improve a number of systems without changing any behavior,Server,,performance,
Spawner Bug Fix,https://www.curseforge.com/minecraft/mc-mods/spawner-fix,,,,,addresses a bug which causes lag in mods that create custom spawners.,Client,,performance,
Sulfuric,https://www.curseforge.com/minecraft/mc-mods/phosphor-reforged,,,,,Unofficial Forge port of Phosphor. Optimizes the lighting engine,Either,Starlight usually has better performance,performance,4
AE2 Unofficial Extended Life,https://www.curseforge.com/minecraft/mc-mods/ae2-extended-life,,,,Applied Energistics 2,Fork of Applied Energistics 2 that comes with many bugfixes and performance improvments,Both,,"performance,bugfix",
AnimFix,https://www.curseforge.com/minecraft/mc-mods/animfix,https://modrinth.com/mod/animfix,,,FalseTweaks,Decreases the stuttering caused by animated textures in 1.7.10,Client,Use FalseTweaks instead,performance,1
ArchaicFix,https://www.curseforge.com/minecraft/mc-mods/archaicfix,,,,,Implements a number of bugfixes and optimizations for 1.7.10,Either,"Some optimizations are incompatible with Optifine and Fastcraft, so they are automatically disabled","performance,bugfix",
BetterFps,https://www.curseforge.com/minecraft/mc-mods/betterfps,,,,,"Adds a few performance improvements, trying to be compatible with other mods.",Either,,performance,
Born in a Barn,https://www.curseforge.com/minecraft/mc-mods/born-in-a-barn,https://modrinth.com/mod/born-in-a-barn,,,,Fixes a Minecraft bug where Village doors keep chunks loaded.,Server,No longer needed after Forge 14.23.2.2623,"bugfix,performance",
CensoredASM,https://www.curseforge.com/minecraft/mc-mods/lolasm,,,,"TexFix, VanillaFix",Optimizes RAM usage.,Both,,"performance,utility,bugfix",
CoFHTweaks,https://www.curseforge.com/minecraft/mc-mods/cofhtweaks,,,,"ArchaicFix, FastCraft, Neodymium",Configuration options for better FPS/TPS,Either,closed source,performance,
FalseTweaks,https://www.curseforge.com/minecraft/mc-mods/falsetweaks,https://modrinth.com/mod/falsetweaks,,,"Triangulator, AnimFix","FalsePattern's flagship tweaking, patching, and optimization mod. contains both the features from AnimFix and Triangulator",Either,,"performance,bugfix",
FastCraft,https://www.curseforge.com/minecraft/mc-mods/fastcraft,,,,"Forge Essentials, CoFHTweaks",A sophisticated mod which improves the client and server performance significantly without any game play changes.,Either,closed source,performance,
FoamFix,https://www.curseforge.com/minecraft/mc-mods/foamfix-optimization-mod,https://modrinth.com/mod/foamfix,,,VintageFix,"A mod designed to optimize post-1.7.10 modded Minecraft using simple, targeted optimizations",Either,Consider using VintageFix on 1.12,performance,4
Nothirium,https://www.curseforge.com/minecraft/mc-mods/nothirium,,,,"Cubic Chunks, Little Tiles, Far Plane Two, Albedo, VanillaFix, CensoredASM",A client-side only mod that changes Minecraft's chunk rendering engine to use modern OpenGL which greatly increases performance. This mod is similar to Sodium but this is not a port of Sodium.,Client,,performance,4
Particle Culling,https://www.curseforge.com/minecraft/mc-mods/particle-culling,https://modrinth.com/mod/particle-culling,,,,Stops particles that are outside the player's view from rendering,Client,,performance,
Phosphor (Forge),https://www.curseforge.com/minecraft/mc-mods/phosphor-forge,none,,,"Mods using outdated mixin versions, Hesperus, Alfheim Lighting Engine",Optimizes the lighting engine,Either,Use Alfheim Lighting Engine instead,performance,1
Squidless,https://www.curseforge.com/minecraft/mc-mods/squidless,,,,,Prevents squids spawning in regions where they would instantly despawn,Server,,performance,
Stackie,https://www.curseforge.com/minecraft/mc-mods/stackie,,,,,Increases stack sizes of experience and items,Server,,performance,
Surge,https://www.curseforge.com/minecraft/mc-mods/surge,https://modrinth.com/mod/surge,,,"Mods using outdated mixin versions, Universal Tweaks",Aims to improve the load time and performance of the game.,Either,Use Universal Tweaks instead,performance,1
TexFix,https://www.curseforge.com/minecraft/mc-mods/texfix,https://modrinth.com/mod/texfix,,,"FoamFix-Anarchy, MCPatcher, NormalASM/CensoredASM",Optimizes the loading of textures of other mods,Client,Use NormalASM/CensoredASM instead,performance,1
Tick Dynamic,https://www.curseforge.com/minecraft/mc-mods/tick-dynamic,,,,,Attempts to keep the server at 20tps by dynamically limiting the amount of entities and tile-entities that update per tick,Server,may hide TPS issues,performance,2
Tiquality,https://www.curseforge.com/minecraft/mc-mods/tiquality,,,,,Limiting a player's tick time in the world to evenly distribute time.,Server,may hide TPS issues,performance,2
Universal Tweaks,https://www.curseforge.com/minecraft/mc-mods/universal-tweaks,,,,"mods it replaces, mods using outdated mixin versions",A ton of performance and bugfix mods in one,Either,See https://tinyurl.com/utreplaced for a list of replaced mods,performance,
VanillaFix,https://www.curseforge.com/minecraft/mc-mods/vanillafix,https://modrinth.com/mod/vanillafix,,,"Mods using outdated mixin versions, (NormalASM/CensoredASM)",Improves performance and fixes bugs and annoyances in vanilla Minecraft,Client,Use NormalASM/CensoredASM instead,"performance,bugfix,utility",1
Advancements Debug,https://www.curseforge.com/minecraft/mc-mods/advancements-debug,https://modrinth.com/mod/advancements-debug,,,,"Rewrites one function of the advancements logic to make advancements checking faster, and use less recursion.",Server,,bugfix,
AntiGhost,https://www.curseforge.com/minecraft/mc-mods/antighost,https://modrinth.com/mod/antighost,,,,Removes all ghost blocks whithin a 4 block radius cube with press of a configurable key.,Client,,bugfix,
AttributeFix,https://www.curseforge.com/minecraft/mc-mods/attributefix,https://modrinth.com/mod/attributefix,,,,"Removes attribute caps (for armor values, attack damage, etc)",Server,can cause unintended behavior with some mods,bugfix,
Axolotl Bucket Fix (Fabric),https://www.curseforge.com/minecraft/mc-mods/axolotl-bucket-fix,none,,,,fixes axolotl buckets so that the item texture shows you what's actually inside it.,Client,,bugfix,
Bed Bugs,https://www.curseforge.com/minecraft/mc-mods/bed-bugs,,,,,Fixes being stuck in a bed and adds persistent chat when getting out of a bed,Client Optional,,bugfix,
BeeFix,none,https://modrinth.com/mod/bee-fix,,,,Fix a bee bug that causes lag,Server,,bugfix,
Blanket,https://www.curseforge.com/minecraft/mc-mods/blanket,https://modrinth.com/mod/blanket,,,,"Fixes some client side bugs, as well as adding some QoL features.",Client,,bugfix,
Blockfire,,https://modrinth.com/mod/blockfire,,,,Fixes the 1.12 bug of fire arrows lighting you on fire through shields.,Server,,bugfix,
Carpet-Fixes,https://www.curseforge.com/minecraft/mc-mods/carpet-fixes,https://modrinth.com/mod/carpet-fixes,,,,Carpet extension which fixes hundreds of vanilla bugs.,Either,requires Carpet,bugfix,
Chat Lag Fix,,https://modrinth.com/mod/chat-lag-fix,,,,Fixes Minecraft client lag from receiving chat messages,Client,,bugfix,
Connectivity,https://www.curseforge.com/minecraft/mc-mods/connectivity,,,,,"Lightweight mod which solves several connection problems like DecoderException, Packet size larget than X bytes, Payload too large and more.",Either,closed source,bugfix,
Debugify,https://www.curseforge.com/minecraft/mc-mods/debugify,https://modrinth.com/mod/debugify,,,,Fixes a variety of bugs.,Either,"MC-147605 patch breaks JEI's search bar (see Debugify#169), can be disabled in config",bugfix,4
Dimension Fix,https://www.curseforge.com/minecraft/mc-mods/dimension-fix-some-forge-patches-ported,https://modrinth.com/mod/dimension-fix,,,,Fix MC-197860: Deleting a custom dimension in a data pack deletes Nether and End.,Both,,bugfix,
Dimension Update Fixer,,https://modrinth.com/mod/dimension-update-fixer,,,,Fixes the issue where removing a dimension from a world deletes all other dimensions.,Server,,bugfix,
DupeFix Project,https://www.curseforge.com/minecraft/mc-mods/dupefix-project,,,,,Fix as many dupes as possible so that modpacks and servers can take advantage of several mods without having to ban items from them.,Client Optional,,bugfix,
Entangled Fix,https://www.curseforge.com/minecraft/mc-mods/entangled-fix,,,,,Fixes an issue with the Entangled mod that causes server to hang if an area is unloaded.,Both,,bugfix,
Erroring Entity Remover,https://www.curseforge.com/minecraft/mc-mods/erroring-entity-remover,https://modrinth.com/mod/erroring-entity-remover,,,,Removes entities that throw errors and crash the game while ticking.,Server,should only be used as a last resort,bugfix,3
Erroring Entity Remover Reforged,https://www.curseforge.com/minecraft/mc-mods/erroring-entity-remover-reforged,https://modrinth.com/mod/eer-reforged,,,,Removes entities that throw errors and crash the game while ticking.,Server,should only be used as a last resort,bugfix,3
FabricCrossDimTPFix,,https://modrinth.com/mod/fabriccrossdimtpfix,,,,Fixes a bug where the player doesn't get sent their XP and Potion effects on cross dim teleport.,Server,,bugfix,
FastOpenLinksAndFolders,https://www.curseforge.com/minecraft/mc-mods/fastopenlinksandfolders,https://modrinth.com/mod/fastopenlinksandfolders,,,,Stops the game from freezing when opening external links or folders,Client,,bugfix,
